feature,shap_importance
koi_depth,2.1517923985399356
koi_dikco_msky,1.5499913179856903
rowid,1.3744746543616575
koi_imag,1.0975178985498368
koi_dicco_msky,1.031410269043599
koi_jmag,0.8075806852732039
koi_max_mult_ev,0.7995633932144669
koi_max_sngle_ev,0.7023284014392215
koi_dor,0.5922821127387893
koi_impact,0.5556667559527442
koi_fwm_sra,0.5521280952549871
koi_count,0.5212141945481823
koi_teq,0.5178288986555875
koi_gmag,0.48413748326447026
koi_kmag,0.47706142510839267
koi_smet,0.42326508437123755
ra,0.4156745316692411
koi_incl,0.41413216041933176
koi_num_transits,0.39011801276389896
koi_steff,0.36245901271631487
koi_kepmag,0.3140695937053426
koi_sma,0.2945076465190067
koi_period,0.28911402843583234
koi_fwm_stat_sig,0.2851239835388745
koi_duration,0.2749739609227153
koi_fwm_sdec,0.2537084311107143
koi_rmag,0.24634259315770962
koi_ror,0.19502699984863442
koi_smass,0.18358256955869046
koi_srho,0.17930003311594753
koi_bin_oedp_sig,0.11659899526817419
koi_dikco_mdec,0.10696438486147394
koi_model_snr,0.10211443969503403
koi_tce_plnt_num,0.09426896355046713
koi_ldm_coeff1,0.08147619957684052
koi_dicco_mdec,0.07997992205674001
dec,0.07928875244606633
koi_dikco_mra,0.07766409001927076
koi_srad,0.07386321646180972
koi_zmag,0.07326512435964938
koi_quarters,0.06972563803160454
koi_time0,0.06509776167506001
koi_time0bk,0.06507892547616537
koi_hmag,0.04688709441611268
koi_slogg,0.04171587360718777
koi_ldm_coeff2,0.03788316476563552
koi_insol,0.03645451166411483
koi_fwm_sdeco,0.01611565124019864
koi_fwm_srao,0.01570974476687051
koi_dicco_mra,0.007043328945466725
koi_prad,0.0026888930195982353
koi_fwm_pdeco,0.0008920639985801705
koi_fwm_prao,0.0007751197163685682
