feature,mean_importance
koi_time0bk,-0.0066957939939308155
koi_time0,-0.004728053219678641
koi_bin_oedp_sig,-0.0015398750148072847
koi_ldm_coeff2,-0.001042404159082555
koi_hmag,-0.0004939809494357128
koi_fwm_prao,0.001291276656636725
koi_kmag,0.0016934411729606692
koi_kepmag,0.002368177644432379
koi_dicco_mdec,0.004749055873991831
koi_ldm_coeff1,0.0052806558040876085
koi_quarters,0.006245954394078007
koi_fwm_pdeco,0.006830905815750377
koi_rmag,0.0072541099465875895
koi_smet,0.007807619195137344
koi_gmag,0.009055295259589341
koi_fwm_stat_sig,0.00950032491981732
koi_smass,0.01093751430997914
koi_jmag,0.012716582251644482
koi_sma,0.013514258022101617
koi_prad,0.013960559540956291
koi_incl,0.01455756815428338
koi_srho,0.014724379076713489
koi_dikco_mdec,0.017809442078002564
koi_zmag,0.020878479000814465
koi_insol,0.024857564548348383
koi_tce_plnt_num,0.02591091997152415
koi_slogg,0.028405288488093854
koi_srad,0.02865098552933828
koi_imag,0.02924598866563541
ra,0.034406397391038374
koi_fwm_sra,0.04977029714083152
koi_period,0.06535507754867001
koi_fwm_sdec,0.06833673772726154
koi_steff,0.06865416982709052
koi_num_transits,0.0689901343542748
koi_dicco_mra,0.07327906491867511
koi_fwm_sdeco,0.07512409473904333
koi_fwm_srao,0.07525586122147424
koi_model_snr,0.07529131932448399
koi_dicco_msky,0.08134914379818434
koi_ror,0.08826485646740528
dec,0.08941354890089698
koi_impact,0.11016461447421806
koi_dor,0.1110618236960598
koi_teq,0.11287522893644109
koi_dikco_mra,0.12359529755766278
koi_count,0.13000227554365323
koi_dikco_msky,0.2475656826920325
koi_duration,0.33188836630547824
koi_max_mult_ev,0.35334925730323163
rowid,0.40520576532242164
koi_max_sngle_ev,0.5182875309464763
koi_depth,0.8618718347782096
